id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2352,Rental unit in Sint-Jans-Molenbeek · ★4.61 · 2 bedrooms · 2 beds · 1 bath,2582,Oda,,Molenbeek-Saint-Jean,50.85702,4.30771,Entire home/apt,99,2,24,2023-05-28,0.21,2,0,3,
2354,Rental unit in Sint Jans Molenbeek · ★4.60 · 1 bedroom · 1 bed · 1 bath,2582,Oda,,Molenbeek-Saint-Jean,50.85709,4.30757,Entire home/apt,89,2,6,2022-11-14,0.07,2,0,1,
45026,Rental unit in Saint-Gilles · ★4.75 · 1 bedroom · 1 bed · 1 bath,198732,Christine,,Saint-Gilles,50.82677,4.34987,Entire home/apt,65,93,61,2023-07-19,0.39,1,277,43,
48180,Rental unit in Woluwe Saint Pierre · 2 bedrooms · 2 beds · 1.5 baths,219560,Ahmet,,Woluwe-Saint-Pierre,50.83771,4.40707,Entire home/apt,200,2,0,,,1,365,0,
52796,Rental unit in Ixelles · ★4.87 · 1 bedroom · 1 bed · 1 bath,244722,Pierre,,Ixelles,50.83362,4.36057,Entire home/apt,83,5,117,2023-07-08,0.76,1,280,11,
80257,Serviced apartment in Anderlecht · ★4.75 · Studio · 2 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,139,1,10,2023-05-07,0.08,16,353,2,
80320,Serviced apartment in Anderlecht · ★4.68 · Studio · 2 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,141,1,76,2023-05-28,0.50,16,338,7,
80373,Serviced apartment in Anderlecht · ★4.61 · Studio · 2 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,142,1,18,2023-05-29,0.20,16,345,7,
96293,Serviced apartment in Anderlecht · ★4.36 · 1 bedroom · 4 beds · 2 baths,433586,Kristella/Francesco,,Anderlecht,50.84053,4.3363,Entire home/apt,171,1,56,2023-05-14,0.37,16,331,3,
96642,Serviced apartment in Anderlecht · ★4.59 · Studio · 2 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,114,1,28,2022-09-03,0.19,16,323,0,
96694,Serviced apartment in Anderlecht · ★4.48 · 1 bedroom · 3 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,123,1,46,2023-03-27,0.32,16,326,5,
97740,Bed and breakfast in Brussels · ★4.67 · 2 bedrooms · 3 beds · 1 private bath,517059,Benoît,,Schaerbeek,50.87048,4.37904,Hotel room,95,2,3,2016-05-26,0.02,2,0,0,
97768,Townhouse in Uccle · 1 bedroom · 1 bed · 1 shared bath,510480,Françoise,,Uccle,50.80688,4.33337,Private room,75,92,2,2021-06-30,0.04,2,170,0,
106677,Home in Uccle · 1 bedroom · 1 bed · 1 bath,510480,Françoise,,Uccle,50.80657,4.33571,Entire home/apt,85,92,1,2019-09-30,0.02,2,260,0,
