id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31840,Serviced apartment in Florence · ★4.65 · 1 bedroom · 1 bed · 1 private bath,380378,Officina 360,,Centro Storico,43.77709,11.25216,Private room,191,1,128,2023-09-04,0.79,30,335,6,
32120,Rental unit in Florence · ★4.88 · 1 bedroom · 1 bed · 1 bath,99235,Lucia,,Gavinana Galluzzo,43.76157,11.27741,Entire home/apt,95,1,26,2023-07-17,0.16,1,52,6,
32180,Condo in Florence · ★4.77 · 2 bedrooms · 4 beds · 2 baths,13925330,Cesare,,Centro Storico,43.76832,11.24348,Entire home/apt,105,6,31,2023-08-05,0.19,2,275,8,
32395,Bed and breakfast in Florence · ★4.84 · 1 bedroom · 1 bed · 1 private bath,140170,Fabio,,Centro Storico,43.76268,11.24149,Hotel room,70,1,662,2023-08-28,4.15,5,9,76,06139100488
39115,Home in Florence · ★4.56 · 1 bedroom · 2 beds · 0 baths,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,89,2,70,2023-07-24,0.44,11,276,12,
39165,Home in Florence · ★4.25 · 1 bedroom · 2 beds · 1 private bath,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,110,2,19,2023-06-05,0.12,11,277,4,
39822,Rental unit in Florence · ★4.43 · 2 bedrooms · 2 beds · 1 bath,154769,Matilde,,Centro Storico,43.76742,11.24378,Entire home/apt,110,4,30,2023-09-10,0.19,3,316,4,
43369,Rental unit in Florence · ★4.75 · 2 bedrooms · 1 bed · 1 bath,4156491,Apartments Florence,,Centro Storico,43.76944,11.26331,Entire home/apt,176,3,8,2023-08-24,0.07,97,0,1,048017LTN4271
44781,Condo in Florence · ★4.85 · 1 bedroom · 1 bed · 1 bath,33210,Rocco,,Centro Storico,43.76418,11.24618,Entire home/apt,174,4,378,2023-09-09,2.41,1,172,37,048017LTN10917
45606,Rental unit in Florence · ★4.75 · 1 bedroom · 4 beds · 1 bath,202686,Tarcisio,,Isolotto Legnaia,43.7728,11.23746,Entire home/apt,84,4,436,2023-08-23,2.93,3,222,18,
46520,Serviced apartment in Florence · ★4.72 · 1 bedroom · 1 bed · 1 private bath,380378,Officina 360,,Centro Storico,43.77699,11.25216,Private room,199,1,101,2023-09-11,0.64,30,339,6,
46523,Serviced apartment in Florence · ★4.65 · 1 bedroom · 1 bed · 1 private bath,380378,Officina 360,,Centro Storico,43.77704,11.25217,Private room,143,1,249,2023-08-12,1.58,30,346,12,
46524,Serviced apartment in Florence · ★4.72 · 1 bedroom · 2 beds · 1 private bath,380378,Officina 360,,Centro Storico,43.777,11.25216,Private room,203,1,105,2023-08-21,0.70,30,342,18,
47498,Serviced apartment in Florence · ★4.58 · 1 bedroom · 1 bed · 2 shared baths,215302,Darko,,Centro Storico,43.77386,11.25028,Private room,73,2,520,2023-08-13,3.30,3,28,14,
48372,Home in Florence · ★4.44 · 1 bedroom · 1 bed · 0 baths,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,72,2,16,2023-07-26,0.11,11,326,8,
52543,Rental unit in Florence · ★4.75 · 2 bedrooms · 3 beds · 2 baths,202686,Tarcisio,,Isolotto Legnaia,43.77175,11.2364,Entire home/apt,84,4,215,2023-08-28,1.43,3,135,15,
52545,Rental unit in Florence · ★4.76 · 1 bedroom · 2 beds · 1 bath,202686,Tarcisio,,Isolotto Legnaia,43.77164,11.23819,Entire home/apt,84,4,209,2023-08-30,1.45,3,123,4,
57542,Rental unit in Florence · ★4.48 · 1 bedroom · 1 bed · 1 bath,274074,Elly,,Centro Storico,43.77236,11.24787,Entire home/apt,110,3,127,2023-09-08,0.83,16,287,10,048017ltn1192
57644,Rental unit in Florence · ★4.82 · 1 bedroom · 2 beds · 1 bath,274758,Francesco,,Centro Storico,43.77713,11.26182,Entire home/apt,131,3,102,2023-08-24,0.69,5,134,14,
